ID,long,lat,LOCALIDAD,MUNICIPIO,ntl
1,-89.5972180460725,20.942297412786836,merida,merida,61.25371170043945
2,-89.63413047120287,21.00629764303228,merida,merida,37.063228607177734
3,-89.60994013615908,20.964232953792834,merida,merida,34.19709777832031
4,-89.6279613,20.987229,merida,merida,NA
5,-89.6289941,20.9872956,merida,merida,NA
6,-89.6297069,20.9945283,merida,merida,NA
7,-89.66350280181769,20.925425048841408,merida,merida,13.539525985717773
8,-89.6397223,20.9848441,merida,merida,NA
9,-89.6401731,20.9771697,merida,merida,NA
10,-89.6401731,20.9771697,merida,merida,NA
11,-89.6420662,20.960263,merida,merida,NA
12,-89.5834617,20.9468049,merida,merida,NA
13,-89.7095143,21.2766309,progreso,progreso,NA
14,-89.64669072450225,20.824330750322062,texan camara,merida,1.2159600257873535
15,-89.63521084553427,21.048057890959242,merida,merida,21.323198318481445
16,-89.6546568619427,20.94531692453828,merida,merida,35.87250900268555
17,-89.6115411438896,20.998202972439085,merida,merida,56.40665817260742
18,-89.6072501,21.0132185,merida,merida,NA
19,-89.6072501,21.0132185,merida,merida,NA
20,-89.6072501,21.0132185,merida,merida,NA
21,-89.65466586226928,20.958132838924854,merida,merida,38.55205535888672
22,-89.619103,21.012246,merida,merida,NA
23,-89.63885211323172,20.991729420877807,merida,merida,57.441314697265625
24,-89.5999106,20.9447135,merida,merida,NA
25,-89.46014447326705,20.810541834232883,acanceh,acanceh,9.145251274108887
26,-89.0358917,21.2435737,dzidzantun,dzidzantun,NA
27,-89.10303389812812,20.954057152411213,citilcum,izamal,0.31673067808151245
28,-88.41584231398026,20.62011448586056,kaua,kaua,7.112120628356934
29,-88.41451965157836,20.626980910776794,kaua,kaua,4.421020030975342
30,-89.7048293,21.1003341,cosgaya,merida,NA
31,-89.5215881,21.0265033,sitpach,merida,NA
32,-89.5879607,20.9443224,merida,merida,NA
33,-89.5616438,20.9725945,merida,merida,NA
34,-89.61948660923724,20.982369360819156,merida,merida,53.94983673095703
35,-88.14598294932102,21.392340069146616,loche,panaba,4.815229415893555
36,-89.77444659136472,21.262231518761517,chelem,progreso,3.550292730331421
37,-88.98940615409563,20.871352294031976,sudzal,sudzal,2.1825082302093506
38,-88.59694141654145,20.696503554422087,piste,tinum,3.894043445587158
39,-88.27360970919635,20.53639724712807,tixcacalcupul,tixcacalcupul,3.5555217266082764
40,-89.5855674,20.9544474,merida,merida,NA
41,-89.63869705547168,21.02589020597629,merida,merida,52.90241622924805
42,-88.23299438903375,21.567301311052802,san felipe,san felipe,5.349277496337891
43,-89.32255424351143,20.73995346533455,cuzama,cuzama,6.600215911865234
44,-89.6728221,20.9258936,merida,merida,NA
45,-89.6727693,20.9258635,merida,merida,NA
46,-89.57124,21.002944,merida,merida,NA
47,-89.12338890224474,20.94857916837664,citilcum,izamal,3.9713802337646484
48,-89.13259728254735,20.928245152476684,citilcum,izamal,1.313789963722229
49,-89.69242707701075,20.644858519255095,abala,abala,1.35219407081604
50,-89.23860293599819,20.15658171964299,ticum,tekax,0.5146188139915466
51,-89.5948999,20.9611523,merida,merida,NA
52,-89.5948999,20.9611523,merida,merida,NA
53,-88.20243836572706,20.697169267109466,valladolid,valladolid,19.745956420898438
54,-89.41398202505675,20.99380817299112,nolo,tixkokob,3.27386212348938
55,-89.6693961,20.9688812,merida,merida,NA
56,-87.85288868832829,21.037276666964797,tixcancal,tizimin,2.8151280879974365
57,-89.6509852,20.955127,merida,merida,NA
58,-89.6254341,21.0259775,merida,merida,NA
59,-89.649739,20.95821,merida,merida,NA
60,-89.6490098,20.9766846,merida,merida,NA
61,-89.6599604321657,21.008825206496333,merida,merida,57.40081787109375
62,-89.6497533,20.9795049,merida,merida,NA
63,-89.67501748115349,20.928887502443484,merida,merida,41.409156799316406
64,-89.6498523,20.9773401,merida,merida,NA
65,-89.6498523,20.9773401,merida,merida,NA
66,-89.6499388,20.9762182,merida,merida,NA
67,-89.57877684542865,21.019837921181466,merida,merida,64.24173736572266
68,-89.6548483,20.9535266,merida,merida,NA
69,-89.6127537,20.942665,merida,merida,NA
70,-89.6605956,20.9491951,merida,merida,NA
71,-89.6558243,20.9470889,merida,merida,NA
72,-89.59795078158623,21.000836544552786,merida,merida,53.70500183105469
73,-89.6471168,20.9385902,merida,merida,NA
74,-89.67441261553206,20.650383594370982,abala,abala,1.8853293657302856
75,-88.7935015,21.2067103,buctzotz,buctzotz,NA
76,-89.30296768709745,21.209355731542253,dzemul,dzemul,8.739983558654785
77,-88.9024944,21.3906636,dzilam de bravo,dzilam de bravo,NA
78,-90.1094518,20.5069872,cepeda,halacho,NA
79,-89.1192383,20.9485984,citilcum,izamal,NA
80,-89.57281967985601,21.034291472060808,merida,merida,15.53620433807373
81,-89.66669279930558,20.982152075685804,merida,merida,41.44260025024414
82,-89.6874841202418,20.947952290475648,merida,merida,48.90561294555664
83,-89.63060623208278,20.98534649384438,merida,merida,45.32845687866211
84,-89.5967258,21.0045503,merida,merida,NA
85,-88.95224947574468,21.015316302022203,tekal de venegas,tekal de venegas,2.0743966102600098
86,-89.18342627372512,20.297067847571657,xaya,tekax,4.386966705322266
87,-88.26800795227582,20.601052701597872,tekom,tekom,5.4204888343811035
88,-88.26770353129659,20.59917176942348,tekom,tekom,5.4204888343811035
89,-88.19905192643391,20.803245259681816,temozon,temozon,14.807183265686035
90,-88.20250936529852,20.802572107037705,temozon,temozon,14.046278953552246
91,-89.93071286730482,20.967039331466008,tetiz,tetiz,5.136474609375
92,-89.5799365,21.015563,merida,merida,NA
93,-89.6145591,20.9978373,merida,merida,NA
94,-89.6145314,20.9977196,merida,merida,NA
95,-89.58144941903485,20.99452512715909,merida,merida,47.808074951171875
96,-89.65943862527044,20.957925883331736,merida,merida,46.18196105957031
97,-89.637858,21.032716,merida,merida,NA
98,-89.5750709,20.9796717,merida,merida,NA
99,-89.5750709,20.9796717,merida,merida,NA
100,-89.00948318935625,20.838056741220235,xanaba,izamal,2.014638900756836
101,-89.01814752050555,20.836290907759857,xanaba,izamal,3.6487855911254883
102,-88.8935917,21.3926014,dzilam de bravo,dzilam de bravo,NA
103,-90.38976513397616,20.868379637840064,celestun,celestun,3.806060552597046
104,-90.39559236450106,20.860306326799304,celestun,celestun,11.716596603393555
105,-88.98868989350396,20.8712753976364,sudzal,sudzal,2.1825082302093506
106,-89.26571495619869,21.20313532489103,telchac,telchac pueblo,10.078600883483887
107,-89.6553286,20.96063,merida,merida,NA
108,-89.6024488,20.9941982,merida,merida,NA
109,-89.6024488,20.9941982,merida,merida,NA
110,-89.69673975296183,20.946943170102248,merida,merida,34.213871002197266
111,-89.6555044,20.956158,merida,merida,NA
112,-89.601577700000007,20.9949422,merida,merida,NA
113,-89.63946973289961,20.949393309126695,merida,merida,33.747764587402344
114,-89.6234633,20.9350317,merida,merida,NA
115,-89.6321887,20.9358328,merida,merida,NA
116,-89.6321887,20.9358328,merida,merida,NA
117,-89.6155174,20.9345677,merida,merida,NA
118,-89.6014267241178,21.03693794724555,merida,merida,37.67470169067383
119,-89.6586305,20.9572028,merida,merida,NA
120,-89.6564825,20.9777932,merida,merida,NA
121,-89.6139184,20.9335822,merida,merida,NA
122,-89.6637267,21.0701376,merida,merida,NA
123,-89.659799,20.9757915,merida,merida,NA
124,-89.659799,20.9757915,merida,merida,NA
125,-88.79627564854638,21.194958589137645,buctzotz,buctzotz,5.695408344268799
126,-88.29540470808156,20.647016754297685,cuncunul,cuncunul,1.3300927877426147
127,-89.82986573269311,20.750908555013226,chochola,chochola,5.878593444824219
128,-89.2422441690155,20.810601057734864,hocaba,hocaba,4.4853644371032715
129,-90.14712223921617,20.62018245671184,santo domingo,maxcanu,0.23725219070911407
130,-89.5912609,20.9923097,merida,merida,NA
131,-89.71534719792874,20.483308787716087,muna,muna,11.188121795654297
132,-88.93646726240708,20.664879913877645,tibolon,sotuta,4.414583206176758
133,-88.94535979580333,20.194115855894612,tahdziu,tahdziu,2.1626813411712646
134,-88.19879138252723,20.794231249171215,temozon,temozon,5.683948516845703
135,-88.202522830705675,20.801381821704116,temozon,temozon,10.913586616516113
136,-88.58954,20.6995941,piste,tinum,NA
137,-88.27020470470848,20.535278220158183,tixcacalcupul,tixcacalcupul,4.32048225402832
138,-89.3921539,20.9907572,tixkokob,tixkokob,NA
139,-88.2031379315137,20.69003972599883,valladolid,valladolid,31.339344024658203
140,-88.20594475314023,20.6833801140307,valladolid,valladolid,18.226844787597656
141,-89.6222319,20.9695217,sinanche,sinanche,NA
142,-89.6291215,20.9854329,merida,merida,NA
143,-89.62571465542374,20.96413711783415,merida,merida,64.861907958984375
144,-88.93672026257568,20.663962918886554,tibolon,sotuta,3.2827212810516357
145,-89.5862917,21.0136013,merida,merida,NA
146,-88.12885047900524,21.38583650061867,loche,panaba,0.27672603726387024
147,-89.70774472797899,20.99418988143021,merida,merida,54.219818115234375
148,-89.6603457,20.9810198,merida,merida,NA
149,-89.6567772,20.982884,merida,merida,NA
150,-89.58555980778497,21.00190103494388,merida,merida,45.1324577331543
151,-89.57609825539129,20.951150900058263,merida,merida,57.175621032714844
152,-89.57794618516107,20.97568519315571,merida,merida,50.848121643066406
153,-89.6616822,20.9846664,merida,merida,NA
154,-89.6616822,20.9846664,merida,merida,NA
155,-89.667741,20.9587075,merida,merida,NA
156,-89.6234115,20.9293822,merida,merida,NA
157,-89.60296822642043,21.003704444581302,merida,merida,54.60821533203125
158,-89.6205132,20.929654,merida,merida,NA
159,-89.6691431,20.9608096,merida,merida,NA
160,-89.69657734414369,20.995211602403675,merida,merida,53.73233413696289
161,-89.6147855,20.9298505,merida,merida,NA
162,-89.6166234,20.9291689,merida,merida,NA
163,-89.6429118,20.9288276,merida,merida,NA
164,-89.627933,20.9232469,merida,merida,NA
165,-89.6353211,20.9270858,merida,merida,NA
166,-89.6398138,20.9283332,merida,merida,NA
167,-88.8887196,21.3932363,dzilam de bravo,dzilam de bravo,NA
168,-90.08902410938794,20.480873384165694,halacho,halacho,7.510958671569824
169,-89.01295225355483,20.919376636041534,izamal,izamal,6.595631122589111
170,-90.0062564,20.5904573,maxcanu,maxcanu,NA
171,-90.0056517,20.5904698,maxcanu,maxcanu,NA
172,-89.6271117,21.0193062,merida,merida,NA
173,-88.63143742243494,20.867413134730786,quintana roo,quintana roo,2.6124911308288574
174,-89.2142237,20.7726904,sanahcat,sanahcat,NA
175,-88.9885585582121,20.87187039026744,sudzal,sudzal,2.1825082302093506
176,-89.54763601630756,20.38959759474818,ticul,ticul,9.645605087280273
177,-89.5712053,21.0236425,merida,merida,NA
178,-89.6690978,20.9728487,merida,merida,NA
179,-89.6690978,20.9728487,merida,merida,NA
180,-89.6380696,21.020501200000002,merida,merida,NA
181,-89.6380472,21.0204991,merida,merida,NA
182,-88.2019245,20.8027647,temozon,temozon,NA
183,-89.80557380118404,21.25612791955641,chuburna,progreso,3.5264511108398437
184,-88.92904361192625,21.27978405586629,dzilam gonzalez,dzilam gonzalez,17.86478042602539
185,-88.92516411504675,21.288513431896792,dzilam gonzalez,dzilam gonzalez,6.573440074920654
186,-88.91443057581198,20.499458172583484,tixcacaltuyub,yaxcaba,0.43453913927078247
187,-89.5514531,20.9243738,kanasin,kanasin,NA
188,-89.21662553029623,20.770685045932595,sanahcat,sanahcat,8.60914134979248
189,-88.94496235670799,20.667640210963853,tibolon,sotuta,1.5019011497497559
190,-89.6281462,20.9241868,merida,merida,NA
191,-89.6353771,20.9265655,merida,merida,NA
192,-89.6652303,20.9948787,merida,merida,NA
193,-89.6281724,20.923237,merida,merida,NA
194,-89.627933,20.9232469,merida,merida,NA
195,-89.6457901,20.9274788,merida,merida,NA
196,-89.69648675985869,20.94319128395676,merida,merida,23.29933738708496
197,-89.65281443741213,20.885575661073183,merida,merida,13.482928276062012
198,-89.44871736413468,20.812065329134757,acanceh,acanceh,12.299120903015137
199,-89.54282486040059,21.058547569743478,x-cuyum,conkal,1.953650712966919
200,-87.9340101,20.6473821,chemax,chemax,NA
201,-87.94178203198841,20.657905327669877,chemax,chemax,13.976819038391113
202,-87.9289967,20.6612067,chemax,chemax,NA
203,-87.93876915591613,20.649335420610722,chemax,chemax,11.089354515075684
204,-89.4659019529847,20.385653171200467,dzan,dzan,13.264095306396484
205,-90.07722093571086,20.46927173442413,halacho,halacho,6.975584983825684
206,-89.01616088084893,20.823427212733947,xanaba,izamal,0.39416366815567017
207,-89.6696515,20.9434146,merida,merida,NA
208,-89.7022688,21.0130016,caucel,merida,NA
209,-89.6509128,21.1017575,komchen,merida,NA
210,-89.27235262111927,21.342722527154553,telchac puerto,telchac puerto,10.724852561950684
211,-88.27237720257794,20.543575074102105,tixcacalcupul,tixcacalcupul,2.6029019355773926
212,-89.5988387,20.97342,merida,merida,NA
213,-89.5988387,20.97342,merida,merida,NA
214,-89.5988387,20.97342,merida,merida,NA
215,-89.27000192397091,21.20713609098262,telchac,telchac pueblo,6.60283088684082
216,-89.18758697372175,20.836620633161488,xocchel,xocchel,2.074260711669922
217,-89.266759,21.2005817,telchac,telchac pueblo,NA
218,-89.03603215146167,21.24903067381489,dzidzantun,dzidzantun,12.932448387145996
219,-89.3166586,20.7399601,cuzama,cuzama,NA
220,-88.60389622503557,20.96185064242335,cenotillo,cenotillo,10.631731986999512
221,-88.60116579078797,20.9631689794825,cenotillo,cenotillo,8.873610496520996
222,-89.6299286,20.9863148,merida,merida,NA
223,-89.62477424187865,20.98634589276328,merida,merida,45.5164909362793
224,-89.5231789,20.3946554,ticul,ticul,NA
225,-89.6321887,20.9358328,merida,merida,NA
226,-89.6264829,21.0163273,merida,merida,NA
227,-89.5962745,20.968472,merida,merida,NA
228,-89.5692348,20.964955,merida,merida,NA
229,-89.5857735,20.9674229,merida,merida,NA
230,-89.58008499415547,20.953314815319075,merida,merida,65.418487548828125
231,-89.59627631768912,21.01174572091752,merida,merida,53.35736846923828
232,-89.5857907,20.960272,merida,merida,NA
233,-89.5857907,20.960272,merida,merida,NA
234,-89.4484248,20.81695,acanceh,acanceh,NA
235,-89.4484248,20.81695,acanceh,acanceh,NA
